loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,fico_score,inq_last_6mths,open_acc,revol_util,total_acc,tot_cur_bal,total_rev_hi_lim,num_tl_op_past_12m,acc_now_delinq,pub_rec_bankruptcies
7975.0,36,17.99,3,2,0,46000.0,0,14.75,0.0,667.0,0.0,17.0,59.5,33.0,66196.0,32800.0,0.0,0.0,0.0
21000.0,36,11.99,2,8,2,104000.0,0,23.61,0.0,682.0,1.0,17.0,50.5,30.0,401453.0,39100.0,3.0,0.0,0.0
28000.0,60,21.49,3,0,2,133000.0,1,11.59,0.0,677.0,0.0,11.0,63.2,21.0,318499.0,51900.0,6.0,0.0,0.0
7000.0,36,10.99,1,0,0,50000.0,4,15.19,1.0,687.0,0.0,6.0,40.9,12.0,46361.0,8300.0,1.0,0.0,0.0
9600.0,36,13.49,2,10,0,57000.0,0,15.85,0.0,687.0,1.0,7.0,45.0,12.0,23986.0,14800.0,1.0,0.0,0.0
8000.0,36,11.44,1,10,2,101000.0,0,19.08,3.0,672.0,0.0,15.0,37.5,29.0,222129.0,17300.0,2.0,0.0,0.0
8000.0,36,10.49,1,10,1,28000.0,0,13.67,0.0,722.0,0.0,12.0,23.4,24.0,6488.0,27700.0,2.0,0.0,0.0
18000.0,60,12.99,2,3,2,49000.0,0,11.05,0.0,702.0,0.0,5.0,67.2,10.0,12946.0,18300.0,0.0,0.0,0.0
2000.0,36,9.49,1,-1,1,65000.0,0,18.26,0.0,707.0,0.0,6.0,73.4,18.0,36622.0,15000.0,2.0,0.0,0.0
17425.0,36,17.27,3,7,0,86940.0,0,21.12,0.0,687.0,0.0,5.0,97.1,16.0,46520.0,20100.0,0.0,0.0,0.0
18000.0,36,18.99,3,4,0,45459.48,0,32.79,0.0,672.0,1.0,9.0,86.2,14.0,43463.0,16700.0,1.0,0.0,0.0
15000.0,36,6.49,0,6,0,65000.0,0,26.7,0.0,737.0,0.0,12.0,12.7,18.0,39475.0,38000.0,1.0,0.0,1.0
25000.0,60,7.89,0,10,2,70000.0,0,26.56,0.0,762.0,1.0,18.0,27.9,25.0,46545.0,82300.0,1.0,0.0,0.0
9000.0,36,11.49,1,7,2,50000.0,0,14.83,1.0,717.0,0.0,10.0,28.0,15.0,152091.0,18300.0,0.0,0.0,0.0
14400.0,36,11.49,1,10,1,157000.0,2,0.52,0.0,677.0,3.0,4.0,28.6,16.0,3257.0,11400.0,1.0,0.0,0.0
8000.0,36,6.49,0,1,2,60000.0,0,16.53,0.0,767.0,1.0,24.0,17.9,43.0,215999.0,106400.0,2.0,0.0,0.0
1725.0,36,13.67,2,1,1,25500.0,0,32.94,0.0,727.0,1.0,12.0,19.2,30.0,39203.0,35500.0,2.0,0.0,0.0
10000.0,36,8.24,1,10,0,60000.0,0,18.08,0.0,667.0,1.0,10.0,33.1,21.0,25219.0,31200.0,2.0,0.0,0.0
6000.0,36,12.79,2,2,0,78000.0,5,29.94,0.0,742.0,0.0,17.0,42.7,32.0,43018.0,17400.0,3.0,0.0,0.0
24000.0,36,9.17,1,6,2,80000.0,0,23.04,0.0,682.0,1.0,13.0,28.8,30.0,43812.0,28300.0,2.0,0.0,1.0
35000.0,36,14.46,2,10,2,116000.0,0,12.45,0.0,682.0,1.0,20.0,66.5,35.0,25583.0,34000.0,1.0,0.0,0.0
8250.0,36,8.99,1,5,2,50000.0,0,26.62,0.0,687.0,1.0,13.0,55.9,23.0,241952.0,30100.0,1.0,0.0,0.0
9000.0,36,10.75,1,10,0,99000.0,0,15.21,0.0,667.0,0.0,8.0,98.3,30.0,43699.0,8600.0,1.0,0.0,1.0
14400.0,60,13.99,2,-1,2,58000.0,0,6.33,0.0,677.0,0.0,5.0,91.5,8.0,182843.0,10000.0,1.0,0.0,0.0
10000.0,36,11.47,1,10,0,40000.0,0,12.39,0.0,662.0,1.0,5.0,56.7,15.0,8638.0,12300.0,2.0,0.0,0.0
15000.0,60,14.85,2,5,2,50000.0,0,23.6,0.0,707.0,0.0,16.0,35.3,31.0,42410.0,23200.0,8.0,0.0,0.0
1800.0,36,10.99,1,10,1,75000.0,0,8.46,4.0,717.0,1.0,10.0,2.4,16.0,224591.0,63000.0,2.0,0.0,0.0
20000.0,36,9.75,1,10,2,71000.0,1,47.46,2.0,682.0,0.0,18.0,79.2,40.0,155470.0,80500.0,1.0,0.0,0.0
3000.0,36,12.99,2,10,2,74500.0,1,27.75,0.0,677.0,0.0,21.0,86.5,40.0,288793.0,37000.0,2.0,0.0,0.0
25000.0,36,12.74,2,2,1,90000.0,1,7.16,0.0,672.0,0.0,9.0,48.6,12.0,11833.0,16200.0,2.0,0.0,1.0
13825.0,36,18.99,3,10,2,73000.0,0,38.17,0.0,717.0,0.0,13.0,63.3,35.0,82867.0,48400.0,3.0,0.0,0.0
16125.0,60,12.74,2,10,2,135000.0,11,4.69,0.0,722.0,0.0,7.0,17.3,15.0,275711.0,26100.0,1.0,0.0,0.0
22000.0,36,9.75,1,2,1,90000.0,0,12.47,0.0,722.0,0.0,5.0,44.1,17.0,472177.0,59500.0,2.0,0.0,0.0
12000.0,60,18.99,3,10,2,121000.0,2,23.81,2.0,687.0,1.0,19.0,65.6,37.0,366752.0,35300.0,6.0,0.0,0.0
20000.0,36,8.59,0,10,2,90000.0,1,17.24,0.0,697.0,1.0,14.0,68.0,31.0,129495.0,42600.0,1.0,0.0,0.0
9325.0,36,12.99,2,-1,0,38000.0,0,23.03,0.0,712.0,1.0,9.0,24.3,24.0,19052.0,8000.0,3.0,0.0,0.0
26000.0,60,14.46,2,10,2,65000.0,0,11.65,0.0,712.0,1.0,13.0,44.0,28.0,85652.0,55200.0,3.0,0.0,0.0
15000.0,36,13.67,2,1,0,80000.0,1,28.53,0.0,662.0,3.0,7.0,84.0,19.0,206352.0,10000.0,3.0,0.0,0.0
14000.0,60,13.99,2,10,1,55000.0,1,15.61,0.0,702.0,2.0,14.0,7.5,35.0,10354.0,27700.0,5.0,0.0,0.0
10000.0,36,11.39,1,10,0,36000.0,0,30.43,0.0,722.0,0.0,6.0,22.6,9.0,48015.0,22800.0,1.0,0.0,1.0
4000.0,36,11.47,1,4,0,65520.0,1,10.97,1.0,672.0,1.0,10.0,41.3,17.0,18895.0,9100.0,3.0,0.0,0.0
10000.0,36,7.89,0,2,2,40500.0,2,20.06,0.0,687.0,0.0,7.0,84.3,15.0,151885.0,28800.0,0.0,0.0,0.0
8500.0,36,11.99,2,0,2,65000.0,0,20.49,0.0,677.0,1.0,9.0,41.0,13.0,13183.0,9700.0,4.0,0.0,0.0
2500.0,36,9.16,1,10,2,248000.0,1,21.97,0.0,692.0,1.0,24.0,97.0,35.0,382305.0,100540.0,1.0,0.0,0.0
15000.0,36,14.99,2,10,2,35000.0,1,33.78,0.0,722.0,0.0,9.0,74.3,12.0,108790.0,21200.0,2.0,0.0,0.0
9500.0,36,12.74,2,10,0,35000.0,0,13.75,0.0,662.0,0.0,14.0,39.2,28.0,9718.0,24800.0,6.0,0.0,0.0
25000.0,60,14.46,2,8,0,155000.0,0,13.22,0.0,662.0,0.0,9.0,92.1,18.0,47700.0,43300.0,0.0,0.0,0.0
8000.0,36,6.99,0,10,2,52000.0,0,24.28,0.0,732.0,1.0,35.0,9.0,50.0,32357.0,115800.0,3.0,0.0,0.0
15000.0,36,8.24,1,5,2,110000.0,0,14.44,0.0,697.0,0.0,8.0,45.9,23.0,52871.0,25000.0,3.0,0.0,0.0
6000.0,36,10.99,1,1,0,45000.0,0,16.11,0.0,672.0,0.0,7.0,58.8,7.0,21156.0,11000.0,2.0,0.0,0.0
5000.0,36,11.44,1,10,2,83000.0,0,19.2,0.0,732.0,0.0,11.0,52.7,26.0,94250.0,30500.0,4.0,0.0,0.0
20000.0,36,9.49,1,7,2,80000.0,1,10.64,0.0,662.0,0.0,7.0,73.9,27.0,316977.0,13300.0,4.0,0.0,1.0
